entity:taxon_id	actual_taxa	cholgen	read1	read2	run	te	vibecheck_reads_classification_notes	vibecheck_reads_confidence	vibecheck_reads_lineage
VB0001	Africa|COD|DC-0130107|T10|2023-01-03	true	gs://cholgen-data/drc/regional-analysis-2024/DC-0130107_1.clean.fastq.gz	gs://cholgen-data/drc/regional-analysis-2024/DC-0130107_2.clean.fastq.gz		T10	Freyja results: T10(100.0%)	1	T10
VB0002	Africa|COD|DC-0007121|T10|2023-01-03	true	gs://cholgen-data/drc/regional-analysis-2024/DC-0007121_1.clean.fastq.gz	gs://cholgen-data/drc/regional-analysis-2024/DC-0007121_2.clean.fastq.gz		T10	Freyja results: T10(100.0%)	1	T10
VB0003	Africa|COD|DC-0217106|T10|2022-01-06	true	gs://cholgen-data/drc/regional-analysis-2024/DC-0217106_1.clean.fastq.gz	gs://cholgen-data/drc/regional-analysis-2024/DC-0217106_2.clean.fastq.gz		T10	Freyja results: T10(100.0%)	1	T10
VB0004	Africa|COD|DC-0011127|T10|2023-01-02	true	gs://cholgen-data/drc/regional-analysis-2024/DC-0011127_1.clean.fastq.gz	gs://cholgen-data/drc/regional-analysis-2024/DC-0011127_2.clean.fastq.gz		T10	Freyja results: T10(100.0%)	1	T10
VB0005	Africa|COD|DRC_C-BUL-23-11500|T10|2023-03-18	true	gs://cholgen-data/drc/regional-analysis-2024/DRC_C-BUL-23-11500.R1.fastq.gz	gs://cholgen-data/drc/regional-analysis-2024/DRC_C-BUL-23-11500.R2.fastq.gz		T10	Freyja results: T10(100.0%)	1	T10
VB0006	Africa|COD|DRC_C-BBO-23-02251|T10|2023-03-28	true	gs://cholgen-data/drc/regional-analysis-2024/DRC_C-BBO-23-02251.R1.fastq.gz	gs://cholgen-data/drc/regional-analysis-2024/DRC_C-BBO-23-02251.R2.fastq.gz		T10	Freyja results: T10(100.0%)	1	T10
VB0007	Africa|COD|DRC_C-SAK-22-01283|T10|2022-08-08	true	gs://cholgen-data/drc/regional-analysis-2024/DRC_C-SAK-22-01283.R1.fastq.gz	gs://cholgen-data/drc/regional-analysis-2024/DRC_C-SAK-22-01283.R2.fastq.gz		T10	Freyja results: T10(100.0%)	1	T10
VB0008	Africa|COD|DRC_C-SAK-22-02187|T10|2022-10-07	true	gs://cholgen-data/drc/regional-analysis-2024/DRC_C-SAK-22-02187.R1.fastq.gz	gs://cholgen-data/drc/regional-analysis-2024/DRC_C-SAK-22-02187.R2.fastq.gz		T10	Freyja results: T10(100.0%)	1	T10
VB0009	Africa|COD|DRC_C-PCG-21-00708|T10|2021-11-22	true	gs://cholgen-data/drc/regional-analysis-2024/DRC_C-PCG-21-00708.R1.fastq.gz	gs://cholgen-data/drc/regional-analysis-2024/DRC_C-PCG-21-00708.R2.fastq.gz		T10	Freyja results: T10(100.0%)	1	T10
VB0010	Africa|COD|DRC_C-109247|T10|2021-12-11	true	gs://cholgen-data/drc/regional-analysis-2024/DRC_C-109247.R1.fastq.gz	gs://cholgen-data/drc/regional-analysis-2024/DRC_C-109247.R2.fastq.gz		T10	Freyja results: T10(100.0%)	1	T10
VB0011	Africa|COD|DRC_HMR-24-001402|T10|2024-01-14	true	gs://cholgen-data/drc/regional-analysis-2024/DRC_HMR-24-001402.R1.fastq.gz	gs://cholgen-data/drc/regional-analysis-2024/DRC_HMR-24-001402.R2.fastq.gz		T10	Freyja results: T10(100.0%)	1	T10
VB0012	Africa|COD|DRC_KAN-24-00906|T10|2024-01-15	true	gs://cholgen-data/drc/regional-analysis-2024/DRC_KAN-24-00906.R1.fastq.gz	gs://cholgen-data/drc/regional-analysis-2024/DRC_KAN-24-00906.R2.fastq.gz		T10	Freyja results: T10(100.0%)	1	T10
VB0013	Africa|MWI|MW_NGSRL_238_23CHOL|T15|2023-01-01	true	gs://cholgen-data/malawi/regional-analysis-2024/MW_NGSRL_238_23CHOL.R1.fastq.gz	gs://cholgen-data/malawi/regional-analysis-2024/MW_NGSRL_238_23CHOL.R2.fastq.gz		T15	Freyja results: T15(100.0%)	1	T15
VB0014	Africa|MWI|MW_NGSRL_297_23CHOL|T15|2023-01-01	true	gs://cholgen-data/malawi/regional-analysis-2024/MW_NGSRL_297_23CHOL.R1.fastq.gz	gs://cholgen-data/malawi/regional-analysis-2024/MW_NGSRL_297_23CHOL.R2.fastq.gz		T15	Freyja results: T15(100.0%)	1	T15
VB0015	Africa|MWI|MW_NGSRL_311_23CHOL|T15|2022-10-01	true	gs://cholgen-data/malawi/regional-analysis-2024/MW_NGSRL_311_23CHOL.R1.fastq.gz	gs://cholgen-data/malawi/regional-analysis-2024/MW_NGSRL_311_23CHOL.R2.fastq.gz		T15	Freyja results: T15(100.0%)	1	T15
